jornada, local, visita
16,,
,EV,OH
,UdC,HH
,AN,CR
,CC,SL
,AI,PA
,LC,IQ
,U,TM
,UE,UC
17,,
,LC,CC
,UC,IQ
,SL,OH
,U,AI
,EV,HH
,UdC,TM
,AN,PA
,UE,CR
18,,
,TM,AN
,HH,UE
,IQ,EV
,OH,LC
,CR,UdC
,CC,U
,PA,SL
,AI,UC
19,,
,UE,AI
,AN,U
,PA,TM
,UC,CR
,IQ,OH
,UdC,LC
,EV,CC
,SL,HH
20,,
,CR,SL
,AI,UdC
,LC,PA
,UC,EV
,UE,IQ
,U,OH
,TM,HH
,CC,AN
21,,
,PA,UC
,SL,TM
,IQ,CC
,OH,UE
,HH,CR
,U,LC
,EV,AI
,AN,UdC
22,,
,UdC,PA
,TM,CC
,UE,U
,HH,AN
,AI,IQ
,LC,EV
,UC,SL
,CR,OH
23,,
,U,HH
,CC,CR
,EV,UdC
,LC,UC
,OH,AN
,SL,AI
,PA,UE
,IQ,TM
24,,
,CR,IQ
,HH,AI
,SL,UE
,AN,LC
,TM,EV
,UdC,U
,OH,PA
,UC,CC
